Name,urlwebsite,keywords,Description_French,Description,Description_cleaned
betters-rift,https://www.bettersrift.com,jeux vidéo,Plateforme de jeux en ligne gratuits sur l'eSport pour les fans par des fans. Pariez gratuitement sur l'eSport et gagnez de vrais cadeaux.,Platform free online games on eSports for fans by fans. Bet for free on eSports and win real gifts.,platform free onlin game esport fan fan bet free esport win real gift
ludilabel,http://www.ludilabel.fr,E-commerce,Des jolies etiquettes nominatives pour identifier les vetements et objets des enfants et seniors evoluant en collectivite.,Pretty personal labels to identify clothes and objects for children and seniors in Evolving community.,pretti person label identifi cloth object child senior evolv commun
xtraball,http://siberiancms.com,Application mobile / Software,"Xtraball développe Siberian CMS, un CMS open-source de création d'applications mobiles. ","Xtraball develops Siberian CMS, CMS open source to create mobile applications.",xtrabal develop siberian cm cm open sourc creat mobil applic
pole-star,http://www.polestar.eu,localisation,"Basée en Europe (France-Toulouse) et aux Etats-Unis (Los Altos- Californie), Pole Star est le pionnier et le leader de la géolocalisation indoor ","Based in Europe (France, Toulouse) and the US (Los Altos- California), Pole Star is the pioneer and leader in indoor location",base europ franc toulous u lo altos- california pole star pioneer leader indoor locat
taleez,https://taleez.com,emploi / recrutement / RH / SaaS,Un seul outil pour gérer vos recrutements de A à Z.,One tool to manage your recruitment from A to Z.,one tool manag recruit z
donecle,http://www.donecle.com,big data / Computer Vision / drone,Donecle inspecte les avions et autres grandes structures 20x plus vite que les méthodes actuelles à l'aide de drones 100% automatisés.,Donecle inspect airplanes and other large structures 20x faster than current methods using drones 100% automated.,donecl inspect airplan larg structur 20x faster current method use drone 100 autom
nanolike,http://www.nanolike.com/,,All-in-one fill level & tracking solution to monitor industrial assets,All-in-one fill level & tracking solution to monitor industrial assets,all-in-on fill level track solut monitor industri asset
ehtech,http://www.ehtech.fr,Efficience énergétique,Double la quantité d'eau chaude disponible pour votre douche tout en divisant par 3 la facture d'énergie en récupérant la chaleur des eaux usées.,Double the amount of hot water in your shower while dividing by 3 the invoice of energy by recovering heat from wastewater.,doubl amount hot water shower divid 3 invoic energi recov heat wastewat
nowave,http://www.nowave.io,Abonnement / cinema,La plateforme SVOD française pour le cinéma indépendant et le cinéma de genre.,The French SVOD platform for independent film and genre cinema.,french svod platform independ film genr cinema
syntony-gnss,http://www.syntony.fr,géolocalisation / GPS / IOT,"SYNTONY offre des solutions de localisation uniques au monde: depuis l'extension du signal GPS pour l'indoor (tunnels routiers ou ferroviaires, stations de métro, etc), jusqu'à l'implémentation en logiciel de récepteurs GPS pour les objets connectés. ","Syntony offers unique location solutions in the world since the extension of the GPS signal for indoor (rail or road tunnels, subway stations, etc.), to implementation in software GPS receivers for connected objects.",syntoni offer uniqu locat solut world sinc extens gp signal indoor rail road tunnel subway station etc implement softwar gp receiv connect object
rocket-0,https://rocket-erp.com,Services Professionnels,"Rocket permet aux indépendants, TPE et PME de se concentrer sur leur Valeur Ajoutée ! Toutes les tâches quotidiennes ennuyeuses qui éloignent du business sont automatisées ou facilitées, de quoi gagner 4h par semaine :-) ","Rocket allows SOHO and SMEs to focus on their value added! All the tedious daily tasks that keep the business are automated or facilitated, enough to earn 4 hours per week :-)",rocket allow soho sme focu valu ad tediou daili task keep busi autom facilit enough earn 4 hour per week
emotion-tech,https://www.reprap-france.com/,3D / impression / Robotique,Concepteur et fabriquant Toulousain d'imprimantes 3D,Designer and manufacturer of printers 3D Toulousain,design manufactur printer 3d toulousain
covirtua,http://www.covirtua.com,logiciel / Réalité virtuelle / santé,COVIRTUA: une solution innovante pour traiter les troubles cognitifs.,COVIRTUA: an innovative solution for treating cognitive disorders.,covirtua innov solut treat cognit disord
citizenfarm,http://citizenfarm.fr/,AgriTech,Nous réimplantons l'agriculture au cœur des villes à travers la diffusion de l'Aquaponie.,We réimplantons agriculture at the heart of cities across the dissemination of Aquaponics.,réimplanton agricultur heart citi across dissemin aquapon
prismeai,https://www.prisme.ai,automation / B2B / logiciel / SaaS,Logiciel SAAS d’automatisation de processus.,Software process automation SAAS.,softwar process autom saa
earthcube,http://www.earthcube.eu,technologie,"Surveillez vos installations et l'environnement n'importe où, tout le temps grâce aux images satellites Earthcube ","Monitor your plants and the environment anywhere, anytime using satellite images Earthcube",monitor plant environ anywher anytim use satellit imag earthcub
livebercom,http://www.liveber.com,communication,"Qui n'a pas déjà regretter d'être l'organisateur d'une sortie, galère des dates , des statuts des participants. Liveber.com propose d'organiser très simplement vos événements. ","Who has not regret being the organizer of an exit, galley dates, status of participants. Liveber.com proposes to organize easily your events.",regret organ exit galley date statu particip liveber.com propos organ easili event
valqualim,https://www.valqualim.xyz,Business Intelligence / logiciel,L’informatique décisionnelle qui centralise vos données et place vos actifs immatériels au cœur de votre activité.,The intelligence that centralizes your data and your site intangible assets at the heart of your business.,intellig central data site intang asset heart busi
linscriptioncom,http://www.linscription.com,evenement / web,Plateforme de gestion d'inscriptions en ligne pour tout type d'évènements et de services,online registration management platform for all types of events and services,onlin registr manag platform type event servic
brikawood,http://www.brikawood-ecologie.fr,Construction durable,La brique en bois qui se monte sans clou ni vis ni colle,The wooden brick that mounts without nails or screws or glue,wooden brick mount without nail screw glue
youprix,http://www.youprix.com/,associations / Comparateur / solidarité collective / startups,Un comparateur de prix solidaire qui finance les associations,A price comparison solidarity associations which finances,price comparison solidar associ financ
private-innovation,http://www.private-innovation.com,E-commerce / innovation,Le premier site de vente privée dédié à l'innovation et aux objets connectés,The first private sale site dedicated to innovation and connected objects,first privat sale site dedic innov connect object
distrix,http://www.distrix.fr,Distribution / e-marketing / géolocalisation / marketing / publicité,Maitrisez de A à Z votre campagne de communication,Control A to Z your communication campaign,control z commun campaign
hopler,http://hopler.co,entrepreneurs / idee / partage,Nous voulons révolutionner le monde de entrepreneuriat en le rendant accessible au plus grand nombre,We want to revolutionize the world of entrepreneurship by making it accessible to as many,want revolution world entrepreneurship make access mani
easymile,http://easymile.com/,,Des bus autonomes FrenchTech,French Tech autonomous bus,french tech autonom bu
nanomade,http://www.nanomade.com,capteur / e-santé / smartphone / technologie,We bring touch and force sensing everywhere,We bring strength and touch sensing everywhere,bring strength touch sen everywher
airvada,http://www.diodon-drone.com/fr/,caméra / drone / Faites du sport,Le premier drone gonflable! Ultra-portable et incassable.,The first inflatable drone! Ultra-portable and unbreakable.,first inflat drone ultra-port unbreak
cellys,http://www.cellys.fr,domotique / E-commerce / E-commerce / innovation / Internet des objets / montre / objets connectés,e-boutique spécialisé dans les objets connectés,e-shop specialized in connected objects,e-shop special connect object
facturenet,http://www.facturenet.fr,comptabilite,"Logiciel de facturation en ligne permettant l'édition de devis, factures... Solution de gestion pour TPE PME. ","Online billing software for the edition quotes, invoices ... management solution for TPE SMEs.",onlin bill softwar edit quot invoic ... manag solut tpe sme
politizr,https://www.politizr.com,Predictive Analytics / SmartCity / web / website,Politizr est une plateforme indépendante et neutre permettant aux élu-e-s* de toute la France de débattre publiquement des sujets proposés par leurs concitoyens.,Politizr is platform independent and neutral allowing elected-e-s * across France to publicly discuss the topics proposed by their fellow citizens.,politizr platform independ neutral allow elected-e- across franc publicli discus topic propos fellow citizen
datapublic,http://www.dpublic.fr/,Business Intelligence,Business intelligence du secteur public,Business intelligence of the public sector,busi intellig public sector
myteleworker,http://www.myteleworker.com,service,Se rencontrer sans se déplacer,Meet without moving,meet without move
iterop,http://www.iterop.com,Achat / B2B / gestion d'entreprise / logiciel / optimisation,"Iterop simplifie le quotidien de votre entreprise en proposant une solution simple et agile : réduisez les pertes de temps, améliorez le suivi de vos prossesus et redonnez du sens à votre organisation. ","Iterop simplifies everyday of your business by offering a simple and agile solution: reduce wasted time, improve tracking your prossesus as you restore meaning to your organization.",iterop simplifi everyday busi offer simpl agil solut reduc wast time improv track prossesu restor mean organ
start-track,http://www.start-track.fr/,,Coach sportif personnalisé,personal trainer,person trainer
la-belle-le-barbu,http://www.labelleetlebarbu.com,E-commerce / E-commerce / mariage / Market Place / Place de marché,La Plus Belle Sélection pour Votre Mariage !,The Most Beautiful Selection for Your Wedding!,beauti select wed
capturs,http://www.capturs.com,communauté sportive / Faites du sport / telecom / tracker GPS,La balise GPS qui connecte les sportifs à leurs proches,The GPS beacon that connects athletes to their relatives,gp beacon connect athlet rel
workout-france,https://lespepitestech.com/En%20maintenance,E-commerce / Faites du sport / web,"1 site internet, 1 application smartphone et 2 sites de e-commerces dédiés aux sportifs ","1 website, 1 and 2 smartphone application e-commerce sites dedicated to sports",1 websit 1 2 smartphon applic e-commerc site dedic sport
mountnpass,http://www.mountnpass.com,communauté sportive / Tourisme / vélo,Le site du vélo et de la découverte,Cycling website and discovery,cycl websit discoveri
coovia,https://coovia.fr,covoiturage / Economie collaborative,Le covoiturage au quotidien dans votre ville,Carpooling every day in your city,carpool everi day citi
rocket,http://mapshup.com/projects/rocket,moteur de recherche,"Cherchez, visualisez et téléchargez des images d'Observation de la Terre acquises chaque jour tout autour du monde ","Search, view and download images of Earth Observation acquired every day all around the world",search view download imag earth observ acquir everi day around world
paarly,http://fr.paarly.com/,digital / E-commerce / e-marketing / prix / retail / SaaS,Paarly est un logiciel innovant de veille et d'analyse tarifaire pour l'e-commerce,Paarly is an innovative software standby and tariff analysis for e-commerce,paarli innov softwar standbi tariff analysi e-commerc
flightwatching,http://www.flightwatching.com,Industrie / Innovation Digitale / logiciel,Surveillance temps réel IoT,Real-time monitoring IoT,real-tim monitor iot
ubleam,http://www.ubleam.com,communication / Industrie / IOT / réalité augmentée / relation clients,"Bleam, l’efficacité augmentée ","Bleam, increased efficiency",bleam increas effici
kissmyshoe,http://www.kissmyshoe.com,Application mobile / chaussure,"Les chaussures de tes rêves t'attendent au coin de la rue, à gauche... ","The shoes of your dreams await you at the corner, to the left ...",shoe dream await corner left ...
adveez,http://www.adveez.fr,domotique / e-santé / french tech / géolocalisation / innovation / IOT / localisation,"Systèmes anti-fugue, capteur de chutes de dernière génération, contrôle d'accès mains-libres, suivi de biens et de personnes (Pass FrenchTech-Acteur SilverEco) ","pet fencing systems last generation falls sensor, control of handsfree access, monitoring of goods and people (Pass-French Tech Actor SilverEco)",pet fenc system last gener fall sensor control handsfre access monitor good peopl pass-french tech actor silvereco
ubigreen,http://www.ubigreen.com/,CleanTech,Réduisez vos factures énergétiques de 30%,Reduce your energy bills by 30%,reduc energi bill 30
skiller,http://Skiller.fr,Réseau social,Réseau social et collaboratif de partage de compétences pros,social and collaborative network sharing pros skills,social collabor network share pro skill
france-pari,https://www.france-pari.fr/sportif/,jeu,Pari en ligne,Online Betting,onlin bet
fittingbox,http://www.fittingbox.com/,3D / digital / innovation / logiciel / réalité augmentée,Leader des solutions digitales d'essayage virtuel de lunettes sur le Web et en magasin pour les professionnels de l'Optique,Leader in digital solutions for virtual fitting glasses on the web and in stores for professionals in the optics,leader digit solut virtual fit glass web store profession optic
el-needo,http://www.elneedo.com,Tourisme,el needO permet aux voyageurs de louer à des habitants de leur lieu de destination de louer tous types d'équipements dont ils ne veulent pas s'encombrer pendant le voyage.,el Needo allows travelers to rent to people of their destination to rent all types of equipment they do not want to carry while traveling.,el needo allow travel rent peopl destin rent type equip want carri travel
netexplorer,https://www.netexplorer.fr/,cloud / collaboratif / collaboratif / partage de documents / partage de documents / SaaS / stockage en ligne,"Solution professionnelle, sécurisée et française de stockage de données en ligne et de partage de fichiers collaboratif. ","Professional solution, secure and French online data storage and collaborative file sharing.",profession solut secur french onlin data storag collabor file share
willty,https://willty.com/,Faites du sport,L'outil de fidélisation et d'acquisition pour les salles de FITNESS,The retention tool and acquisition for FITNESS rooms,retent tool acquisit fit room
bleemeo,https://bleemeo.com,SaaS,Service Cloud de monitoring d'infrastructure,Infrastructure Monitoring Service Cloud,infrastructur monitor servic cloud
unooc,http://www.unooc.fr,e-santé / santé,"Unooc est le 1er moteur de recherche des produits de santé : trouvez médicaments et parapharmacie, en ligne ou à côté de chez vous ! ","Unooc is the first search engine for health products: find drugs and drugstore, online or off you!",unooc first search engin health product find drug drugstor onlin
economics-games,http://aireconsim.com,economie / EdTech / education / Gaming,Enseignement de l'économie par le jeu (apprentissage par problèmes),Economics teaching through play (PBL),econom teach play pbl
nirby,http://www.nirbyapp.com,application / e-marketing / evenement / localisation / marketing de proximité / Marketing événementiel / offre commerciale / Réseau social / SmartCity,Découvrez les évènements et opportunités autour de vous !,Discover events and opportunities around!,discov event opportun around
french-app,http://frenchapp.fr,Android / Application mobile / Application mobile / iOS / iPhone / Jeu mobile / mobile,Création d'applications mobiles,Creating mobile applications,creat mobil applic
placeboard,http://www.placeboardapp.com,Application mobile / collaboratif / géolocalisation / idée de sortie / iOS / iPhone / lifestyle / partage / social / Travel,L'appli pour vous souvenir de vos lieux préférés et les partager,The app to help you remember your favorite places and share,app help rememb favorit place share
drivoo,http://www.drivoo.com,delivery / E-commerce / téléportation,Plateforme de livraison collaborative,collaborative delivery platform,collabor deliveri platform
myfeelback,http://www.myfeelback.com/fr,Analyse / questionnaire / retour client,Collecte et analyse de feedback par le biais de questionnaires intelligent,Collection and analysis of feedback through questionnaires smart,collect analysi feedback questionnair smart
noova,http://www.noova.co,Place de marché,La crème des produits innovants développés par des startups du monde entier,The cream of the innovative products developed by startups worldwide,cream innov product develop startup worldwid
parkisseo,http://www.parkisseo.com,SmartCity,Stationnement intelligent : détection des places libres en surface et identification automatique des véhicules.,Intelligent Parking: detection of available seats on the surface and automatic vehicle identification.,intellig park detect avail seat surfac automat vehicl identif
boxmyjob,https://boxmyjob.com,emploi / offres emploi,Boxmyjob est un service gratuit pour organiser facilement sa recherche d'emploi. Une offre vous intéresse ? Ajoutez-la dans Boxmyjob !,Boxmyjob is a free service for easily organize their job search. A Interested? Add it in Boxmyjob!,boxmyjob free servic easili organ job search interest add boxmyjob
globewhere,http://globewhere.com/fr/,Tourisme / Voyage / Bon plan,La meilleure façon de concevoir ses voyages,The best way to design his travels,best way design travel
xfield-paintball-video-game,http://www.xfield-paintball.com,jeu / jeux vidéo,"Jeu de Paintball sur mobile et tablettes 4,5 millions de downloads ",Paintball game on mobile and tablets 4.5 million downloads,paintbal game mobil tablet 4.5 million download
prenom-de-bebe-2,http://www.prenomdebebea2.fr/,Application mobile / bébé,Fini les discussions sans fin pour trouver le prénom de son enfant !,No more endless discussions to find the name of her child!,endless discus find name child
keysmagnet,https://keysmag.net,pratique / / Idées cadeaux / cadeau,"Avec ce joli porte-clés, vos clés sont facilement retrouvées. ","With this cute key chain, keys are easily found.",cute key chain key easili found
printshot,http://www.printshot.fr,impression,"Impression rapide et à bas prix de cartes de visite, flyers, dépliants,affiches, bâches, stands, panneaux de chantier. ","Print fast and cheap business cards, flyers, brochures, posters, tarpaulins, stands, construction panels.",print fast cheap busi card flyer brochur poster tarpaulin stand construct panel
sigfox,http://www.sigfox.com/fr/,IOT / connectivité / Internet des objets,"Une connectivité cellulaire mondiale pour l'Internet des objets, entièrement dédiée aux communications à bas débit. ","A global cellular connectivity for the Internet of Things, dedicated to low-speed communications.",global cellular connect internet thing dedic low-spe commun
tonpsy-psychologues-par-webcam,http://tonpsy.fr,psychologie / webcam,"Démocratisons l'accès au Psy. Par webcam, de Paris ou Sydney ","Democratize access to Psy. Webcam, Paris or Sydney",democrat access psi webcam pari sydney
morning-payname,https://morning.com,FinTech / paiement,"Morning, pionnière du #cobanking, construit la #neobanque du quotidien, totalement indépendante. #fintech #reveillelabanque ","Morning #cobanking pioneer, built the #neobanque daily, completely independent. #fintech #reveillelabanque",morn cobank pioneer built neobanqu daili complet independ fintech reveillelabanqu
toolmapp,http://www.toolmapp.com/,artisan / Place de marché,Une urgence ? Votre artisan disponible en quelques clics,An emergency ? Your craftsman available in a few clicks,emerg craftsman avail click
saumo,http://www.saumo.fr/,Réseau social / Application mobile,Pour retrouver ceux que l'on a croisé,To find those we crossed,find cross
azuvia,https://www.azuvia.fr/,bien-être / CleanTech / Qualité de l'eau,Société de filtration et dépollution biologique des eaux,Filtration Company and bioremediation of waters,filtrat compani bioremedi water
udicat,https://udicat.com,B2B / big data / Business Intelligence / cloud / collaboratif / gestion d'entreprise / Innovation Digitale / IT / marketing / Services Professionnels,"Experts en Business Intelligence et spécialisés sur les technologies Microsoft, nous proposons des solutions de BI clé en main et managées pour faciliter et accélérer vos projets liés au décisionnel. ","Experts in Business Intelligence and specialized in Microsoft technologies, we provide key BI solutions in hand and managed to facilitate and accelerate your decision to related projects.",expert busi intellig special microsoft technolog provid key bi solut hand manag facilit acceler decis relat project
happy-funky-family,http://www.happyfunkyfamily.com,art digital / cadeau / décoration / e-shop / famille / Idées cadeaux / makers / peinture / startups / œuvres d’art,"La Happy Funky Family transforme vos photos de famille, amis ou collègues en oeuvre d'art personnalisée. Une sélection d'artistes répondant à vos plus folles envies! Une idée cadeau déco arty pour se faire plaisir ou à offrir en toutes occasions. ","The Funky Happy Family transforms your family photos, friends or colleagues used custom art. A selection of artists to meet your wildest desires! A gift idea deco arty for fun or to offer on all occasions.",funki happi famili transform famili photo friend colleagu use custom art select artist meet wildest desir gift idea deco arti fun offer occas
birds-change,https://www.birdsforchange.fr,CleanTech / education / environnemental / traitement image,"Première solution de collaboration inter-espèces ayant pour but de collecter divers déchets dans la nature grâce à une collaboration avec des oiseaux trop souvent vus comme ""nuisibles "" dans notre société. ","First collaboration solution interspecies aiming to collect various waste in nature through collaboration with birds too often seen as ""harmful"" in our society.",first collabor solut interspeci aim collect variou wast natur collabor bird often seen `` harm '' societi
doinsport,http://www.doinsport.com,Application mobile / Faites du sport / logiciel / logiciel de caisse / SportTech,"Doinsport est une solution innovante pour les gérants de complexes sportifs et de loisirs. Gestion des réservations, animation des communautés, caisse enregistreuse certifiée. ","Doinsport is an innovative solution for the managers of sports and entertainment complexes. Management of reservations, communities, entertainment, cash register certified.",doinsport innov solut manag sport entertain complex manag reserv commun entertain cash regist certifi
fintel,https://www.fintel.fr/,,La solution automatisée de paiement à crédit pour le e-commerce,The automated credit payment solution for e-commerce,autom credit payment solut e-commerc
teeneo,http://www.teeneo.me,Accompagnement / EdTech / education / FinTech / paiement mobile,L'argent de poche réinventé !,Pocket money reinvented!,pocket money reinvent
olythe,http://www.olythe.io,Internet des objets / objets connectés,"OLYTHE est une jeune entreprise basée sur Aix en Provence. Elle développe et commercialise « OCIGO », une nouvelle génération d’éthylotest utilisant une technologie de spectrométrie infrarouge miniaturisée. ","OLYTHE is a young company based in Aix en Provence. It develops and markets ""OCIGO"" a new generation of miniature breathalyser using infrared spectrometry technology.",olyth young compani base aix en provenc develop market `` ocigo '' new gener miniatur breathalys use infrar spectrometri technolog
solable,http://www.solable.fr,CleanTech,innovations d'impact,innovations Impact,innov impact
smartpush,https://www.smartpush.fr/,,Smartpush propose une solution de monétisation des données clients destinée aux banques.,Smartpush offers customers data monetization solution for banks.,smartpush offer custom data monet solut bank
quickms,https://quickms.fr/,application / big data / controle / LegalTech / logiciel / RH / SaaS,"Solution SaaS qui révolutionne le monde du pilotage RH. Vos fichiers DSN vous permettent de générer des indicateurs RH, d’accéder à des tableaux de bord et d’obtenir votre BDES en quelques clics. ","SaaS solution that revolutionizes the world of HR management. Your DSN files allow you to generate HR indicators, access to dashboards and get your BDES few clicks.",saa solut revolution world hr manag dsn file allow gener hr indic access dashboard get bde click
hello-my-cake,https://hellomycake.com,Achat / Application eCommerce / artisan / boulangerie / commander / E-commerce / Market Place,Hello My Cake est une plateforme de mise en relation entre pâtissiers et particuliers. Je souhaite apporter une touche d'innovation pour nos amis les pâtissiers et faciliter la prise de commande en ligne d'un gâteau pour tout le monde :D.,Hello My Cake is a matchmaking platform between pastry and individuals. I want to bring a touch of innovation to our friends pastry and facilitate online order taking a cake for everyone: D.,hello cake matchmak platform pastri individu want bring touch innov friend pastri facilit onlin order take cake everyon
alexandre-m-frenchy,https://www.alexandremthefrenchy.com,creation de siteweb / formation en ligne / Référencement / Réseau social / website / website builder / webv visibilité en ligne,"alexandre m the frenchy, formateur SEO Wix dans la création et le référencement de sites internet Wix et community manager ","alexander m the Frenchy, Wix SEO trainer in the creation and SEO Wix websites and community manager",alexand frenchi wix seo trainer creation seo wix websit commun manag
abc-digital-touch-io,https://abcdigitaltouch.io,e-marketing / Réseau social / SEO," La plateforme marketing 360 degrés : publicités sur les réseaux sociaux, Google ADS, création automatique de contenu, monitoring de données SEO & ADS, top trending de votre activité, marketing automation… et bien plus encore ! "," The 360 ​​degree marketing platform: ads on social networks, Google ads, automated content creation, SEO & monitoring ADS data, trending top of your business, marketing automation ... and more!",360 ​​degre market platform ad social network googl ad autom content creation seo monitor ad data trend top busi market autom ...
innovacases-sas,https://www.noreve.com,coque / E-commerce / téléphonie,"Profondément ancrée dans l’élégance et la sensualité tropéziennes, Noreve est une griffe authentique, fidèle à l’état d’esprit artistique de la capitale emblématique du glamour. ","Deeply rooted in the elegance and sensuality tropéziennes, Noreve is an authentic claw, reflecting the artistic spirit of the capital iconic glamor.",deepli root eleg sensual tropézienn norev authent claw reflect artist spirit capit icon glamor
rbmg-consulting,https://rbmg-consulting.com,Accompagnement,"RBMG est une agence d’audit et de conseil qui accompagne, depuis 2007, les PME & Entrepreneurs dans le développement de leur entreprise. ","RBMG is an auditing agency and consultancy that accompanies since 2007, SMEs & entrepreneurs in developing their business.",rbmg audit agenc consult accompani sinc 2007 sme entrepreneur develop busi
obratori,https://obratori.com,Incubateur / investissement,"OBRATORI, startup studio du Groupe L'OCCITANE, est un VC explorateur d’idées qui s'est fixé comme mission d’accompagner le développement de startups BeautyTech, Retailtech, HealthTech & Wellness, en phase d'amorçage. ","OBRATORI, startup studio Group L'OCCITANE is a VC explorer of ideas that has the mission to support the development of startups BeautyTech, Retailtech, HealthTech & Wellness, in seed.",obratori startup studio group l'occitan vc explor idea mission support develop startup beautytech retailtech healthtech well seed
waggon,http://www.waggon.io,architecture / B2B / BTP / Immobilier,"waggon.io, l’appli qui bouscule les règles du marché professionnel (b2b) de l’aménagement et de l’architecture. ","waggon.io, the app that challenges the rules of the professional market (B2B) in the development and architecture.",waggon.io app challeng rule profession market b2b develop architectur
sunleavs,https://sunleavs.fr/,Energies propres / solidarité collective,Plateforme qui permet aux habitants d'un quartier d' investir ensemble dans une installation de production collective d’énergie solaire,Platform that allows residents of a neighborhood to invest together in a collective production of solar power installation,platform allow resid neighborhood invest togeth collect product solar power instal
virtuafire,http://www.virtuafire.fr,Securité,Solution de formation incendie en réalité virtuelle avec extincteurs connectés,Training Solution fire extinguishers connected with virtual reality,train solut fire extinguish connect virtual realiti
marklix-0,http://www.marklix.com,3D / API / Application eCommerce / Numérique au service de l'environnement / DIY / Market Place / Services d'impression 3D,"Marklix est une plateforme web qui met en relation, marques fabricantes et plus généralement tout concepteur de fichiers 3D avec consommateurs en produisant par impression 3D, à la demande et localement, des pièces détachées. ","Marklix is ​​a web platform that connects, fabless brands and more generally any 3D files designer with consumers by producing 3D printing, on-demand and locally, spare parts.",marklix ​​a web platform connect fable brand gener 3d file design consum produc 3d print on-demand local spare part
connecteque,http://connecteque.com,bases de données / big data / Boîte à outils startup / cabinet de recrutement digital / Communauté / communication / connecté / développement web / digital / internet,Projet de Portail Web innovant. Son objectif : devenir le nouveau leader de la mise en relation !,Project Innovative Web Portal. His goal: to become the new leader of the linkage!,project innov web portal goal becom new leader linkag
galaxy-seo,http://galaxy-seo.com/,Accompagnement / Analyse / Référencement / SEO,"Solution de référencement SEO, axée sur l'accompagnement et l'apprentissage par le client ",SEO solution-oriented coaching and learning by the client,seo solution-ori coach learn client
froggylab,https://www.froggylab.com/,Innovation Digitale / marketing de proximité / retail,Affichage Dynamique,Dynamic dispaly,dynam dispali
marklix,https://www.marklix.com/,3D / API / Application eCommerce / Numérique au service de l'environnement / DIY / Market Place / Services d'impression 3D,"Plateforme web qui met en relation, marques fabricantes et plus généralement tout concepteur de fichiers 3D avec consommateurs en produisant par impression 3D, à la demande et localement, des pièces détachées. ","Web platform that connects, fabless brands and more generally any 3D files designer with consumers by producing 3D printing, on-demand and locally, spare parts.",web platform connect fable brand gener 3d file design consum produc 3d print on-demand local spare part
octarina-0,https://www.octarina.com,3D / réalité augmentée / Réalité virtuelle / Software Engineering,"Société qui développe des applications innovantes, interactives et immersives. ","Company developing innovative applications, interactive and immersive.",compani develop innov applic interact immers
digital-paca,https://digital-paca.fr,Android / Application mobile / digital / Innovation Digitale / iOS,"Cadrage de projets mobiles / Développement d'applis mobiles et PWA/ DevOps, audit, roadmap et mise en place /Audit sécurité mobile /Audit digital métier ","Three mobile projects / Development of mobile apps and PWA / DevOps, audit, roadmap and implementation / Auditing Mobile Security / Audit digital business",three mobil project develop mobil app pwa devop audit roadmap implement audit mobil secur audit digit busi
modules-prestashop,https://www.webpoint.fr,creation de siteweb / développement web / web analytics / Web development,Dropshipping | Commencez avec presque rien,dropshipping | Start with almost nothing,dropship start almost noth
my-food-story-0,https://www.myfoodstory.org,application / Application mobile / Alimentation saine et durable / agriculture raisonnée / Numérique au service de l'environnement / données en magasin / marketing de proximité / QR Code / référencement local,"L'appli pour bien choisir vos aliments, en découvrant leur histoire et leur impact sur la Nature. Trouvez des commerces engagés et transparents, qui garantissent leur approvisionnement. ","The app to choose your food, discovering their history and their impact on nature. Find engaged and transparent businesses that guarantee their supply.",app choos food discov histori impact natur find engag transpar busi guarante suppli
pixxle,https://www.pixxle.io,Application mobile / digital / E-commerce / e-santé / Solution de paiement / Web development,Nous nous concentrons sur le digital afin de réaliser vos projets et d’améliorer l’existant avec nos armes qui sont la créativité et l’innovation.,We focus on digital to complete your projects and improve existing with our weapons are creativity and innovation.,focu digit complet project improv exist weapon creativ innov
legalcity,https://legalcity.fr,FinTech,Assistance Juridique et Administrative pour les TPE / PME.,Administrative and Legal Assistance for SOHO / SME.,administr legal assist soho sme
stoquemarket,http://www.stoquemarket.com,Achat / Food Tech / restauration,Place de marché permettant de découvrir de nouveaux fournisseurs de qualité et de gagner du temps en simplifiant le passage de commandes.,Market place to discover new quality suppliers and save time by simplifying the passage controls.,market place discov new qualiti supplier save time simplifi passag control
sellsign-0,https://www.sellandsign.com/fr/,API / application / Application mobile / B2B / Bpifrance / BtoB / Business Intelligence / digital / french tech / startups,Solution de signature électronique intelligente,Intelligent electronic signature solution,intellig electron signatur solut
dailywash,https://dailywash.fr/,Application eCommerce / Blanchisserie / conciergerie / pressing / service / Service aux particuliers / services / services à la personne & aux TPE,Conciergerie d'entreprise 2.0 : pressing et services livrés sur votre lieu de travail,Corporate Concierge 2.0: pressing and services delivered to your workplace,corpor concierg 2.0 press servic deliv workplac
c4diagnostics,https://www.c4diagnostics.com/,,Développe une solution permettant d'identifier et de rendre visibles (par coloration ou fluorescence) des microorganismes pathogènes.,Is developing a solution for identifying and making visible (by coloration or fluorescence) with pathogenic microorganisms.,develop solut identifi make visibl color fluoresc pathogen microorgan
letsignit-0,https://www.letsignit.fr/,,"La solution référente pour créer, attribuer & gérer les signatures mail de tous vos collaborateurs et y ajouter des bannières marketing ciblée. ","The referrer solution to create, assign email signatures & manage all your employees and add targeted marketing banners.",referr solut creat assign email signatur manag employe add target market banner
gravipack,https://www.gravipack.com,Activités et Loisirs / Actualités / bien-être / Bon plan / cadeau / communauté sportive / innovation / montagne / randonnée / technologie,Gravipack - Le seul sac à dos au monde qui confond la charge sur le centre de gravité du corps.,Gravipack - The only backpack in the world that confuses the load on the body center of gravity.,gravipack backpack world confus load bodi center graviti
articlaw,http://articlaw.net/,animation / art / art digital / bande-dessinée / Centre de formation / communauté sportive / conseils juridiques / french tech / LegalTech / œuvres d’art,Legaltech spécialisée dans les Nouvelles Technologies et en droit de la Propriété Intellectuelle.,LegalTech specializing in New Technologies and Law of Intellectual Property.,legaltech special new technolog law intellectu properti
payrequest,https://payrequest.io,finance,Simple fast payment links,Simple fast payment links,simpl fast payment link
